attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
insert10,50,6,default,syncmark_alignment,19,0.5756578947368421,0.42434210526315785,0.0,0.0
insert10,50,6,default,syncmark_position_vote,19,0.555921052631579,0.444078947368421,0.0,0.0
insert10,50,6,loose_gap,syncmark_alignment,19,0.6085526315789473,0.39144736842105265,0.0,0.05263157894736842
insert10,50,6,loose_gap,syncmark_position_vote,19,0.555921052631579,0.444078947368421,0.0,0.0
insert10,100,6,anchor_heavy,syncmark_alignment,19,0.5460526315789473,0.45394736842105265,0.0,0.10526315789473684
insert10,100,6,anchor_heavy,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.10526315789473684
insert10,100,6,current,syncmark_alignment,19,0.5131578947368421,0.48684210526315785,0.0,0.10526315789473684
insert10,100,6,current,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.10526315789473684
insert10,100,6,default,syncmark_alignment,19,0.5592105263157895,0.4407894736842105,0.0,0.05263157894736842
insert10,100,6,default,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.10526315789473684
insert10,100,6,loose_gap,syncmark_alignment,19,0.5394736842105263,0.4605263157894737,0.0,0.05263157894736842
insert10,100,6,loose_gap,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.10526315789473684
insert10,150,6,anchor_heavy,syncmark_alignment,19,0.5822368421052632,0.41776315789473684,0.0,0.05263157894736842
insert10,150,6,anchor_heavy,syncmark_position_vote,19,0.4868421052631579,0.513157894736842,0.0,0.10526315789473684
insert10,150,6,current,syncmark_alignment,19,0.5493421052631579,0.45065789473684215,0.0,0.05263157894736842
insert10,150,6,current,syncmark_position_vote,19,0.4868421052631579,0.513157894736842,0.0,0.10526315789473684
insert10,150,6,default,syncmark_alignment,19,0.5986842105263158,0.4013157894736842,0.0,0.0
insert10,150,6,default,syncmark_position_vote,19,0.4868421052631579,0.513157894736842,0.0,0.10526315789473684
insert10,150,6,loose_gap,syncmark_alignment,19,0.5526315789473685,0.4473684210526315,0.0,0.05263157894736842
insert10,150,6,loose_gap,syncmark_position_vote,19,0.4868421052631579,0.513157894736842,0.0,0.10526315789473684
insert5,50,6,anchor_heavy,syncmark_alignment,19,0.5427631578947368,0.45723684210526316,0.0,0.10526315789473684
insert5,50,6,anchor_heavy,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.05263157894736842
insert5,50,6,current,syncmark_alignment,19,0.6019736842105263,0.3980263157894737,0.0,0.05263157894736842
insert5,50,6,current,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.05263157894736842
insert5,50,6,default,syncmark_alignment,19,0.6348684210526315,0.3651315789473685,0.0,0.10526315789473684
insert5,50,6,default,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.05263157894736842
insert5,50,6,loose_gap,syncmark_alignment,19,0.6019736842105263,0.3980263157894737,0.0,0.0
insert5,50,6,loose_gap,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.05263157894736842
insert5,100,6,anchor_heavy,syncmark_alignment,19,0.5493421052631579,0.45065789473684215,0.0,0.0
insert5,100,6,anchor_heavy,syncmark_position_vote,19,0.5789473684210527,0.42105263157894735,0.0,0.0
insert5,100,6,current,syncmark_alignment,19,0.5888157894736842,0.4111842105263158,0.0,0.0
insert5,100,6,current,syncmark_position_vote,19,0.5789473684210527,0.42105263157894735,0.0,0.0
insert5,100,6,default,syncmark_alignment,19,0.5592105263157895,0.4407894736842105,0.0,0.0
insert5,100,6,default,syncmark_position_vote,19,0.5789473684210527,0.42105263157894735,0.0,0.0
insert5,100,6,loose_gap,syncmark_alignment,19,0.6348684210526315,0.3651315789473685,0.0,0.0
