attack,length,anchor_len,weight_preset,n,position_hit_rate,alignment_hit_rate,hit_delta_alignment_minus_position,position_exact_rate,alignment_exact_rate,exact_delta_alignment_minus_position,alignment_crc_pass_rate
delete5,100,6,anchor_heavy,19,0.569078947368421,0.6282894736842105,0.05921052631578949,0.0,0.0,0.0,0.0
delete5,100,6,current,19,0.569078947368421,0.6710526315789473,0.10197368421052633,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525
delete5,100,6,default,19,0.569078947368421,0.6381578947368421,0.06907894736842113,0.0,0.0,0.0,0.05263157894736842
delete5,100,6,loose_gap,19,0.569078947368421,0.6743421052631579,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.21052631578947367
delete5,150,6,anchor_heavy,17,0.5808823529411765,0.625,0.044117647058823484,0.0,0.0,0.0,0.0
delete5,150,6,current,17,0.5808823529411765,0.7132352941176471,0.13235294117647056,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
delete5,150,6,default,17,0.5808823529411765,0.625,0.044117647058823484,0.0,0.0,0.0,0.0
delete5,150,6,loose_gap,17,0.5808823529411765,0.7205882352941176,0.13970588235294112,0.0,0.0,0.0,0.058823529411764705
insert10,50,6,anchor_heavy,19,0.555921052631579,0.5723684210526315,0.016447368421052544,0.0,0.0,0.0,0.10526315789473684
insert10,50,6,current,19,0.555921052631579,0.5526315789473685,-0.003289473684210509,0.0,0.0,0.0,0.0
insert10,50,6,default,19,0.555921052631579,0.5756578947368421,0.019736842105263164,0.0,0.0,0.0,0.0
insert10,50,6,loose_gap,19,0.555921052631579,0.6085526315789473,0.05263157894736836,0.0,0.0,0.0,0.05263157894736842
insert10,100,6,anchor_heavy,19,0.5657894736842105,0.5460526315789473,-0.019736842105263164,0.0,0.0,0.0,0.10526315789473684
insert10,100,6,current,19,0.5657894736842105,0.5131578947368421,-0.05263157894736836,0.0,0.0,0.0,0.10526315789473684
insert10,100,6,default,19,0.5657894736842105,0.5592105263157895,-0.006578947368421018,0.0,0.0,0.0,0.05263157894736842
insert10,100,6,loose_gap,19,0.5657894736842105,0.5394736842105263,-0.02631578947368418,0.0,0.0,0.0,0.05263157894736842
insert10,150,6,anchor_heavy,19,0.4868421052631579,0.5822368421052632,0.09539473684210525,0.0,0.0,0.0,0.05263157894736842
insert10,150,6,current,19,0.4868421052631579,0.5493421052631579,0.062499999999999944,0.0,0.0,0.0,0.05263157894736842
insert10,150,6,default,19,0.4868421052631579,0.5986842105263158,0.11184210526315791,0.0,0.0,0.0,0.0
insert10,150,6,loose_gap,19,0.4868421052631579,0.5526315789473685,0.06578947368421056,0.0,0.0,0.0,0.05263157894736842
