trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
25,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,159,157,1111111110111111
25,syncmark_alignment,16,160,6,0.4375,0.0,False,78.5,162,159,157,1111111011111111
26,bimark_position_vote,16,160,6,0.5,0.0,,,162,162,160,1111110111011111
26,bimark_hamming74,16,160,6,0.625,0.0,,,162,160,158,1111111101111011
26,syncmark_position_vote,16,160,6,0.6875,0.0,True,,162,167,165,1101111011110111
26,syncmark_alignment,16,160,6,0.5625,0.0,False,84.99999999999993,162,167,165,0111111111111111
27,bimark_position_vote,16,160,6,0.8125,0.0,,,162,157,155,1101110010101101
27,bimark_hamming74,16,160,6,0.5625,0.0,,,162,166,164,1111111110101111
27,syncmark_position_vote,16,160,6,0.5625,0.0,False,,162,156,154,1111110001101111
27,syncmark_alignment,16,160,6,0.6875,0.0,False,89.44999999999985,162,156,154,1101111010000111
28,bimark_position_vote,16,160,6,0.4375,0.0,,,162,168,166,1000110111111111
28,bimark_hamming74,16,160,6,0.625,0.0,,,162,165,163,1111011111111100
28,syncmark_position_vote,16,160,6,0.5625,0.0,False,,162,163,161,1111111111111111
28,syncmark_alignment,16,160,6,0.5625,0.0,False,85.99999999999996,162,163,161,1111111111111111
29,bimark_position_vote,16,160,6,0.5625,0.0,,,162,158,156,1101011011111101
29,bimark_hamming74,16,160,6,0.8125,0.0,,,162,170,168,0111011111111010
29,syncmark_position_vote,16,160,6,0.75,0.0,False,,162,161,159,0111111110111011
29,syncmark_alignment,16,160,6,0.5,0.0,False,84.2999999999999,162,161,159,1101111111100111
